X,Y,OBJECTID_1,OBJECTID,SCHID,NAME,ADDRESS,TOWN_MAIL,TOWN,STATE,ZIP,PRINCIPAL,PHONE,FAX,GRADES,TYPE
-71.0822190607274,42.3502985938585,145,2426,00350760,The Kingsley Montessori School,30 Fairfield Street,Boston,BOSTON,MA,02116,Carole Forbes,617-226-4900,--,"PK,K,1,2,3,4,5,6",PRI
-71.1075471958439,42.3410315529765,146,2427,00350910,The Winsor School,103 Pilgrim Rd,Boston,BOSTON,MA,02215,Carolyn McClintock,617-735-9500,--,"5,6,7,8,9,10,11,12",PRI
-71.1097915211913,42.3510289066946,147,2445,00350813,Boston University Academy,1 University Road,Boston,BOSTON,MA,02215,James Berkman,617-353-9000,617-353-8999,"9,10,11,12",PRI
-71.1425451850529,42.3499809464406,148,2517,00350758,Kennedy Day School,"30 Warren St, c/o Franciscan Childrens Hospital",Brighton,BOSTON,MA,02135,Bonnie Paulino Lanen,617-254-3800,617-779-1639,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",SPE
-71.0456414834248,42.3167431313717,149,165,8023,Boston College High,150 Morrissey Blvd,Dorchester,BOSTON,MA,02125,Stephen Hughes,617-474-5010,617-474-5015,"9,10,11,12",PRI
-71.1286870586597,42.2592390768062,150,2744,00460865,Boston Trinity Academy,17 Hale St.,Boston,BOSTON,MA,02136,Timothy Wiens,617-364-3700,617-364-3800,"6,7,8,9,10,11,12",PRI
-71.136105705997,42.3604098312556,151,2745,00490855,German International School Boston,57 Holton Street,Allston,BOSTON,MA,02134,Christian Nitschke,617-783-2600,617-783-2605,"PK,K,1,2,3,4,5,6,7",PRI
-71.0580049721955,42.3205581364025,152,177,8089,Pope John Paul II Academy (Columbia Road),790 Columbia Road,Dorchester,BOSTON,MA,02125,Claire Sheridan,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.0876363712996,42.3240253733143,153,141,5100,City On A Hill Charter Public School - Circuit Street,58 Circuit Street,Roxbury,BOSTON,MA,02119,Cristin Berry,617-445-1515,617-445-9153,"9,10,11,12",CHA
-71.080192518766,42.2849246358832,154,2761,00350872,St Matthew Elementary,33 Stanton Street,Dorchester,BOSTON,MA,02124,Mary Lanata,617-825-7955,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.1116778820446,42.3270501416258,155,2764,00350791,The Knight Children's Center,161 South Huntington Ave,Jamaica Plain,BOSTON,MA,02130,Pamela M Nolan,617-264-5349,617-232-7925,"2,3,4,5,6,7,8,9",SPE
-71.1266998014796,42.2872765924359,156,2767,00350720,Children's Learning Center,7 Murray Hill Rd.,Roslindale,BOSTON,MA,02131,Francis Campbell,617-327-2538,--,"PK,K,1,2,3,4,5,6",PRI
-71.0524175669314,42.3188273838458,157,135,5501,Boston Collegiate Charter School (Lower School),215 Sydney Street,Dorchester,BOSTON,MA,02125, , , , ,CHA
-71.1066818304411,42.2616425885929,158,156,5432,MATCH Charter Community Day School,100 Poydras Street,Mattapan,BOSTON,MA,02126, ,617-983-0300 ,617-983-0332,"PK, K, 1, 2, 3, 4",CHA
-71.0818333273369,42.3179074444562,159,155,5480,KIPP Academy Boston - Middle School,384 Warren Street,Roxbury,BOSTON,MA,02119,Emily Hepler,617-238-7300,617-652-7461,"5,6,7,8",CHA
-71.1037673695697,42.3051127795602,160,158,5430,MATCH Charter Public Middle School,215 Forest Hills St.,Jamaica Plain,BOSTON,MA,02130, ,857-203-9668,857-203-9666,"5,6,7,8",CHA
-71.085441182283,42.3012046305194,162,140,5540,Bridge Boston Charter School (K1-1),2 McLellan Street,Dorchester,BOSTON,MA,02121, , , ,"K, 1",CHA
-71.0924954430527,42.2948297623934,163,148,5451,Edward Brooke Charter School - Mattapan,150 American Legion Highway,Dorchester,BOSTON,MA,02124, , , , ,CHA
-71.0633955982013,42.3113131294077,164,146,5530,Dorchester Collegiate Academy,131 Hancock St.,Dorchester,BOSTON,MA,02125,Donna Green-Ford,617-379-3029, , ,CHA
-71.0736495292181,42.3113682838012,165,160,5302,Roxbury Prep - Dorchester,206 Magnolia St.,Dorchester,BOSTON,MA,02121,Dana Lehman,617-858-2300,617-275-5760,"6,7,8",CHA
-71.016237265263,42.3827339517998,166,147,5452,Edward Brooke Charter School - East Boston,94 Horace Street,East Boston,BOSTON,MA,02128, , , , ,CHA
-70.9994525438529,42.3843682873488,167,152,5491,Excel Academy Charter School - Orient Heights,1150 Saratoga St.,East Boston,BOSTON,MA,02124, , , , ,CHA
-71.0827027828055,42.3316189324248,168,142,5101,City On A Hill Charter Public School - Dudley Square,2181 Washington Street,Roxbury,BOSTON,MA,02119,Sonya Pratt,617-516-5888,617-445-9153,"9,10,11,12",CHA
-71.0659811136436,42.2768772304952,169,145,5200,Conservatory Lab Charter School - Dorchester,2120 Dorchester Avenue,Dorchester,BOSTON,MA,02124,Robyn Pretlow,617-254-8904,617-254-8909,"3, 4, 5, 6, 7, 8",CHA
-71.0708376301534,42.2955581711363,170,162,5301,Roxbury Prep - Lucy Stone,22 Regina Road,Dorchester,BOSTON,MA,02124,Dana Lehman,617-979-0115,617-822-7527,"6,7,8",CHA
-71.093132739495,42.3298256097058,172,164,5800,Youth Build Boston,27 Centre Street,Roxbury,BOSTON,MA,02119, , , , ,CHA
-71.0641828474621,42.2914851136834,573,139,5541,Bridge Boston Charter School (2-4),18 Samoset Street,Dorchester,BOSTON,MA,02124, , , ," 2, 3, 4",CHA
-71.0358155909248,42.3392687058378,973,150,5492,Excel Academy Charter High School,7 Elkins Street,South Boston,BOSTON,MA,02127,Nina Keough,617-874-4143,--,"9, 10, 11, 12",CHA
-71.1055282676984,42.2613577536761,974,154,5481,KIPP Academy Boston - Elementary School,6 Tchapitoulas Street,Mattapan,BOSTON,MA,02126,Emily Hepler,617-238-7300,617-652-7461,"K,1,2,3,4",CHA
-71.1145410972902,42.2950670728157,975,161,5303,Roxbury Prep - High School,86 Wachusett Street,Jamaica Plain,BOSTON,MA,02130,Shradha m Patel,--,--,"9,10,11,12",CHA
-71.066840217799,42.2748751168936,1373,170,8662,Elizabeth Seton Academy,2220 Dorchester Ave,Dorchester,BOSTON,MA,02124,Patricia Leitsinger,617-296-1087,--,"9,10,11,12",PRI
-71.0615903697732,42.3737937776049,1374,171,,Good Shepherd School,20 Winthrop Street,Charlestown,BOSTON,MA,02129,Nicolette Clifford,617-242-8800,617-242-0016,PK,PRI
-71.0472328388729,42.3349364536027,1375,173,,Julie's Family Learning Program,133 Dorchester Street,South Boston,BOSTON,MA,02127,Robert Monahan,617-269-6663,--,"PK, K",PRI
-71.0462587111831,42.3188013621293,1376,176,8642,Notre Dame Montessori,265 Mt. Vernon Street,Dorchester,BOSTON,MA,02125, ,--,--, ,PRI
-71.0762223523087,42.3249204823319,1377,187,8337,St Patrick Elementary,131 Mt. Pleasant Ave,Roxbury,BOSTON,MA,02119,Mary Lanata,617-427-3881,617-427-4529,"PK,K,1,2,3,4,5,6,7,8",PRI
